sensor_frame_index,sensor_timestamp,actual_exposure_us,requested_exposure_us,analogue_gain,stream,output_frame_index,pts_ms,elapsed_ms,frame_unix_ms,recording_start_iso8601,frame_time_iso8601,mean_luma
51,14909785442000,994.0,1000,1.00,B,10,1028.106,1028.106,1789131957318.732,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.318732+04:00,15.6
52,14909799336000,994.0,1000,1.00,B,11,1042.000,1042.000,1789131957332.626,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.332626+04:00,15.6
53,14909813231000,9992.0,10000,1.00,A,12,1055.895,1055.895,1789131957346.521,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.346521+04:00,84.2
54,14909827122000,9992.0,10000,1.00,A,13,1069.786,1069.786,1789131957360.412,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.360412+04:00,84.2
55,14909841017000,9992.0,10000,1.00,A,14,1083.681,1083.681,1789131957374.307,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.374307+04:00,84.2
56,14909854913000,994.0,1000,1.00,B,12,1097.577,1097.577,1789131957388.203,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.388203+04:00,15.5
57,14909868802000,994.0,1000,1.00,B,13,1111.466,1111.466,1789131957402.092,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.402092+04:00,15.5
58,14909882696000,994.0,1000,1.00,B,14,1125.360,1125.360,1789131957415.986,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.415986+04:00,15.5
59,14909896591000,9992.0,10000,1.00,A,15,1139.255,1139.255,1789131957429.881,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.429881+04:00,84.1
60,14909910483000,9992.0,10000,1.00,A,16,1153.147,1153.147,1789131957443.773,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.443773+04:00,84.1
61,14909924376000,9992.0,10000,1.00,A,17,1167.040,1167.040,1789131957457.666,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.457666+04:00,84.1
62,14909938271000,994.0,1000,1.00,B,15,1180.935,1180.935,1789131957471.561,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.471561+04:00,15.5
63,14909952162000,994.0,1000,1.00,B,16,1194.826,1194.826,1789131957485.452,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.485452+04:00,15.5
64,14909966056000,994.0,1000,1.00,B,17,1208.720,1208.720,1789131957499.346,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.499346+04:00,15.5
65,14909979952000,9992.0,10000,1.00,A,18,1222.616,1222.616,1789131957513.242,2026-09-11T17:05:56.290626+04:00,2026-09-11T17:05:57.513242+04:00,84.1
