session_id,sequence_id,sample_id,sample_source,timestamp_seconds,unity_frame,left_device_id,left_is_tracked,left_tracking_state,left_pose_valid,left_px,left_py,left_pz,left_qx,left_qy,left_qz,left_qw,right_device_id,right_is_tracked,right_tracking_state,right_pose_valid,right_px,right_py,right_pz,right_qx,right_qy,right_qz,right_qw,pair_valid
20260911_130547_284_P01,seq_0001,2256,BeforeRender,62.921788904,4441,67,1,15,1,-1.35800755,-0.0972322971,-0.449206769,-0.498404205,0.309918702,-0.558405399,-0.586282551,68,1,15,1,-1.66858625,0.0677934214,-0.389142543,0.51327765,0.223258525,-0.604022741,0.567325652,1
20260911_130547_284_P01,seq_0001,2257,BeforeRender,62.935725504,4442,67,1,15,1,-1.36879253,-0.0955063701,-0.445496619,-0.49671486,0.290181488,-0.548316479,-0.606974661,68,1,15,1,-1.6664511,0.0689491928,-0.383419126,0.498817235,0.235586256,-0.595361769,0.584144533,1
20260911_130547_284_P01,seq_0001,2258,BeforeRender,62.949563704,4443,67,1,15,1,-1.3891145,-0.0916297212,-0.437359333,-0.508600235,0.259433091,-0.526686549,-0.629778981,68,1,15,1,-1.66418898,0.0694821924,-0.375113964,0.481990576,0.252920657,-0.588458478,0.597856879,1
20260911_130547_284_P01,seq_0001,2259,BeforeRender,62.963511304,4444,67,1,15,1,-1.40575302,-0.0878483206,-0.431465864,-0.520282924,0.234365225,-0.513232946,-0.641069949,68,1,15,1,-1.66309655,0.0699863732,-0.367026538,0.462520242,0.275730938,-0.579563558,0.611681044,1
20260911_130547_284_P01,seq_0001,2260,BeforeRender,62.977504504,4445,67,1,15,1,-1.41590393,-0.0853651389,-0.42889145,-0.523094118,0.22033757,-0.508153915,-0.64776808,68,1,15,1,-1.66218781,0.0699390993,-0.361687779,0.448414147,0.292510271,-0.579044342,0.614874125,1
20260911_130547_284_P01,seq_0001,2261,BeforeRender,62.991464204,4446,67,1,15,1,-1.4364295,-0.0798097104,-0.426629096,-0.512362003,0.189568192,-0.493832439,-0.676519513,68,1,15,1,-1.66086316,0.0693627223,-0.35484311,0.42823875,0.31905514,-0.582914591,0.612393677,1
20260911_130547_284_P01,seq_0001,2262,BeforeRender,63.005377904,4447,67,1,15,1,-1.45787716,-0.0725893527,-0.428749532,-0.475190073,0.156800196,-0.44639945,-0.741846204,68,1,15,1,-1.66603422,0.0684610158,-0.353400081,0.41478318,0.348920166,-0.576865435,0.611093998,1
20260911_130547_284_P01,seq_0001,2263,BeforeRender,63.019359504,4448,67,1,15,1,-1.46792686,-0.0691593587,-0.431466162,-0.446473837,0.140536755,-0.405223489,-0.785305321,68,1,15,1,-1.66707098,0.0685491562,-0.350856155,0.400453448,0.371015996,-0.571923792,0.612280428,1
20260911_130547_284_P01,seq_0001,2264,BeforeRender,63.033192304,4449,67,1,15,1,-1.48588085,-0.0647145212,-0.439276278,-0.37584132,0.108134426,-0.295034409,-0.87178272,68,1,15,1,-1.66604674,0.0700021982,-0.345902562,0.385325968,0.389912724,-0.568561912,0.613375366,1
20260911_130547_284_P01,seq_0001,2265,BeforeRender,63.047261204,4450,67,1,15,1,-1.49410474,-0.0639417022,-0.443782806,-0.336874753,0.0907123014,-0.230591103,-0.908358157,68,1,15,1,-1.66506755,0.0714719146,-0.34289965,0.377748072,0.394055009,-0.569457054,0.614610195,1
20260911_130547_284_P01,seq_0001,2266,BeforeRender,63.061061204,4451,67,1,15,1,-1.51272285,-0.0642697215,-0.453921646,-0.249737263,0.049041599,-0.0762508139,-0.964060187,68,1,15,1,-1.66609752,0.0737990811,-0.340316892,0.374613553,0.397231758,-0.575717211,0.608622611,1
20260911_130547_284_P01,seq_0001,2267,BeforeRender,63.075024604,4452,67,1,15,1,-1.52710593,-0.0634393543,-0.461261928,-0.191570461,0.0211780593,0.0403335281,-0.980421066,68,1,15,1,-1.66506839,0.0775398389,-0.335790902,0.362731576,0.392650306,-0.59079963,0.604323864,1
20260911_130547_284_P01,seq_0001,2268,BeforeRender,63.088999904,4453,67,1,15,1,-1.54125965,-0.0581817999,-0.468666464,-0.155570149,0.0116268545,0.1527493,-0.975874186,68,1,15,1,-1.66502714,0.0813667327,-0.33279708,0.354642808,0.388511479,-0.605346501,0.597363353,1
20260911_130547_284_P01,seq_0001,2269,BeforeRender,63.102968204,4454,67,1,15,1,-1.5472616,-0.0515300781,-0.472594678,-0.163698062,0.0273840912,0.206047803,-0.964363813,68,1,15,1,-1.66465354,0.0848714858,-0.330299765,0.350648522,0.378116548,-0.626832247,0.584084749,1
